[10:29:24]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[10:29:40]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:29:43]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[10:29:51]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:29:55]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[10:29:58]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:30:14]  8.03 H:8.06 L:7.76 | PnL:+1.13%(+27元) | 离止损:+3.2% 
[10:30:39]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:30:42]  8.03 H:8.06 L:7.76 | PnL:+1.13%(+27元) | 离止损:+3.2% 
[10:30:50]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:30:53]  8.03 H:8.06 L:7.76 | PnL:+1.13%(+27元) | 离止损:+3.2% 
[10:31:00]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:31:04]  8.03 H:8.06 L:7.76 | PnL:+1.13%(+27元) | 离止损:+3.2% 
[10:31:11]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:31:15]  8.03 H:8.06 L:7.76 | PnL:+1.13%(+27元) | 离止损:+3.2% 
[10:31:22]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:31:36]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[10:31:43]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:31:51]  8.03 H:8.06 L:7.76 | PnL:+1.13%(+27元) | 离止损:+3.2% 
[10:32:01]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:32:05]  8.03 H:8.06 L:7.76 | PnL:+1.13%(+27元) | 离止损:+3.2% 
[10:32:09]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:32:19]  8.03 H:8.06 L:7.76 | PnL:+1.13%(+27元) | 离止损:+3.2% 
[10:32:30]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:32:41]  8.03 H:8.06 L:7.76 | PnL:+1.13%(+27元) | 离止损:+3.2% 
[10:32:54]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:33:01]  8.03 H:8.06 L:7.76 | PnL:+1.13%(+27元) | 离止损:+3.2% 
[10:33:12]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:33:19]  8.03 H:8.06 L:7.76 | PnL:+1.13%(+27元) | 离止损:+3.2% 
[10:34:02]  8.04 H:8.06 L:7.76 | PnL:+1.26%(+30元) | 离止损:+3.3% 
[10:34:06]  8.03 H:8.06 L:7.76 | PnL:+1.13%(+27元) | 离止损:+3.2% 
[10:34:09]  8.04 H:8.06 L:7.76 | PnL:+1.26%(+30元) | 离止损:+3.3% 
[10:34:13]  8.03 H:8.06 L:7.76 | PnL:+1.13%(+27元) | 离止损:+3.2% 
[10:34:16]  8.04 H:8.06 L:7.76 | PnL:+1.26%(+30元) | 离止损:+3.3% 
[10:34:42]  8.03 H:8.06 L:7.76 | PnL:+1.13%(+27元) | 离止损:+3.2% 
[10:34:46]  8.04 H:8.06 L:7.76 | PnL:+1.26%(+30元) | 离止损:+3.3% 
[10:34:49]  8.03 H:8.06 L:7.76 | PnL:+1.13%(+27元) | 离止损:+3.2% 
[10:35:08]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:35:15]  8.03 H:8.06 L:7.76 | PnL:+1.13%(+27元) | 离止损:+3.2% 
[10:35:33]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:35:47]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[10:35:58]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:36:02]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[10:36:06]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:36:09]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[10:36:28]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:36:39]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[10:36:43]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:36:46]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[10:36:54]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:37:00]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
